date_extracted,paid_price
2024-01-05,62.0
2024-01-08,69.5
2024-01-10,76.5
2024-01-12,86.39
2024-01-18,73.0
2024-01-22,53.75
2024-01-30,88.0
2024-02-02,146.73
2024-02-03,49.75
2024-02-04,194.0
2024-02-05,176.5
2024-02-06,199.0
2024-02-07,55.5
2024-02-08,266.4
2024-02-09,170.15
2024-02-10,228.5
2024-02-11,496.2
2024-02-12,66.0
2024-02-15,41.4
2024-02-16,28.5
2024-02-17,117.97999999999999
2024-02-18,73.0
2024-02-19,20.5
2024-02-20,18.0
2024-02-21,70.5
2024-02-22,47.75
2024-02-23,89.7
2024-02-24,730.5
2024-02-26,70.99
2024-02-27,87.25
2024-02-28,160.85
2024-02-29,134.4
2024-03-01,331.49
2024-03-02,289.7
2024-03-03,327.65
2024-03-04,578.5
2024-03-05,241.25
2024-03-06,59.1
2024-03-07,266.49
2024-03-08,308.55
2024-03-09,54.99
2024-03-10,426.8
2024-03-11,550.93
2024-03-12,295.95
2024-03-13,142.8
2024-03-14,292.03999999999996
2024-03-15,378.03
2024-03-16,167.49
2024-03-17,87.75
2024-03-18,562.99
2024-03-19,586.99
2024-03-20,328.94
2024-03-21,495.86
2024-03-22,363.7
2024-03-23,701.68
2024-03-24,378.4
2024-03-25,556.98
2024-03-26,841.42
2024-03-27,578.05
2024-03-28,233.0
2024-03-29,44.989999999999995
2024-03-30,393.25
2024-03-31,261.74
2024-04-01,388.71
2024-04-02,534.25
2024-04-03,616.1800000000001
2024-04-04,974.64
2024-04-05,1017.4499999999999
2024-04-06,378.33
2024-04-07,484.88
2024-04-08,430.04
2024-04-09,328.45
2024-04-10,215.74
2024-04-11,444.66
2024-04-12,872.44
2024-04-13,396.49
2024-04-14,627.4399999999999
2024-04-15,747.84
2024-04-16,326.7
2024-04-17,207.9
2024-04-18,437.74
2024-04-19,890.55
2024-04-20,394.1
2024-04-21,470.2
2024-04-22,387.97
2024-04-23,785.54
2024-04-24,263.8
2024-04-25,951.79
2024-04-26,703.5
2024-04-27,256.79
2024-04-28,574.26
2024-04-29,620.9399999999999
2024-04-30,551.1800000000001
2024-05-01,911.51
2024-05-02,208.2
2024-05-03,540.15
2024-05-04,316.69
2024-05-05,227.55
2024-05-06,415.49
2024-05-07,1011.69
2024-05-08,725.29
2024-05-09,1337.91
2024-05-10,760.15
2024-05-11,775.9100000000001
2024-05-12,1100.27
2024-05-13,651.1
2024-05-14,733.99
2024-05-15,939.13
2024-05-16,755.22
2024-05-17,800.25
2024-05-18,964.96
2024-05-19,778.64
2024-05-20,728.97
2024-05-21,912.23
2024-05-22,605.07
2024-05-23,517.0
2024-05-24,655.5500000000001
2024-05-25,899.14
2024-05-26,271.12
2024-05-27,1132.67
2024-05-28,191.99
2024-05-29,1203.65
2024-05-30,671.48
2024-05-31,953.45
2024-06-01,295.73
2024-06-02,1099.32
2024-06-03,471.58
2024-06-04,1020.18
2024-06-05,1259.02
2024-06-06,768.89
2024-06-07,786.74
2024-06-08,1051.1399999999999
2024-06-09,840.05
2024-06-10,979.18
2024-06-11,663.75
2024-06-12,773.73
2024-06-13,960.07
2024-06-14,1022.99
2024-06-15,896.89
2024-06-16,964.2
2024-06-17,1549.03
2024-06-18,1069.94
2024-06-19,712.85
2024-06-20,1513.53
2024-06-21,884.38
2024-06-22,996.8199999999999
2024-06-23,1012.65
2024-06-24,875.75
2024-06-25,1678.36
2024-06-26,930.44
2024-06-27,1056.7
2024-06-28,1683.09
2024-06-29,1054.04
2024-06-30,930.5699999999999
2024-07-01,881.61
2024-07-02,1571.38
2024-07-03,1385.31
2024-07-04,1521.49
2024-07-05,1111.51
2024-07-06,1385.34
2024-07-07,1510.58
2024-07-08,866.89
2024-07-09,1453.88
2024-07-10,1580.89
2024-07-11,851.0
2024-07-12,1162.3
2024-07-13,2418.16
2024-07-14,1689.5
2024-07-15,564.65
2024-07-16,1154.86
2024-07-17,1113.73
2024-07-18,1751.9
2024-07-19,1554.06
2024-07-20,1437.36
2024-07-21,1287.32
2024-07-22,1685.6100000000001
2024-07-23,1560.3899999999999
2024-07-24,785.73
2024-07-25,1337.48
2024-07-26,1459.09
2024-07-27,793.46
2024-07-28,1712.25
2024-07-29,1365.65
2024-07-30,1453.8899999999999
2024-07-31,1951.4
2024-08-01,2030.76
2024-08-02,2284.36
2024-08-03,2384.69
2024-08-04,1283.0
2024-08-05,1735.46
2024-08-06,1541.49
2024-08-07,849.23
2024-08-08,1740.42
2024-08-09,1501.73
2024-08-10,1086.66
2024-08-11,1614.84
2024-08-12,1430.83
2024-08-13,1446.73
2024-08-14,2188.01
2024-08-15,2314.34
2024-08-16,2199.15
2024-08-17,2192.56
2024-08-18,1340.1
2024-08-19,1833.54
2024-08-20,914.39
2024-08-21,1651.74
2024-08-22,2716.48
2024-08-23,2645.09
2024-08-24,1702.2
2024-08-25,2558.13
2024-08-26,2342.22
2024-08-27,1434.85
2024-08-28,2787.32
2024-08-29,1518.07
2024-08-30,1693.93
2024-08-31,1196.43
2024-09-01,1967.98
2024-09-02,2438.55
2024-09-03,1513.8700000000001
2024-09-04,3113.27
2024-09-05,2305.39
2024-09-06,3790.17
2024-09-07,1530.78
2024-09-08,3216.11
2024-09-09,2134.94
2024-09-10,2245.68
2024-09-11,2652.36
2024-09-12,2326.23
2024-09-13,2716.46
2024-09-14,3064.29
2024-09-15,2462.35
2024-09-16,2760.56
2024-09-17,2168.16
2024-09-18,2257.85
2024-09-19,2400.96
2024-09-20,2432.12
2024-09-21,3171.58
2024-09-22,1693.6399999999999
2024-09-23,2499.68
2024-09-24,2062.73
2024-09-25,2348.83
2024-09-26,1798.99
2024-09-27,3018.93
2024-09-28,2292.65
2024-09-29,1988.02
2024-09-30,1828.6499999999999
2024-10-01,1888.6399999999999
2024-10-02,1780.53
2024-10-03,3200.14
2024-10-04,2361.69
2024-10-05,2502.05
2024-10-06,2502.24
2024-10-07,3517.02
2024-10-08,2226.81
2024-10-09,1993.83
2024-10-10,3203.9
2024-10-11,1879.31
2024-10-12,2702.7200000000003
2024-10-13,1873.3
2024-10-14,2890.32
2024-10-15,2123.69
2024-10-16,2497.83
2024-10-17,1943.86
2024-10-18,2518.83
2024-10-19,2315.52
2024-10-20,2987.53
2024-10-21,2553.08
2024-10-22,3242.28
2024-10-23,1824.46
2024-10-24,2509.9
2024-10-25,2217.23
2024-10-26,2646.81
2024-10-27,3144.08
2024-10-28,2553.87
2024-10-29,1808.54
2024-10-30,1879.01
2024-10-31,2718.51
2024-11-01,2635.37
2024-11-02,2887.53
2024-11-03,2608.91
2024-11-04,1606.31
2024-11-05,2461.16
2024-11-06,2281.79
2024-11-07,2167.07
2024-11-08,2219.25
2024-11-09,3518.62
2024-11-10,2264.7
2024-11-11,2609.15
2024-11-12,2803.96
2024-11-13,1946.63
2024-11-14,3911.99
2024-11-15,2548.87
2024-11-16,3086.18
2024-11-17,2654.79
2024-11-18,1990.9
2024-11-19,2829.67
2024-11-20,2169.56
2024-11-21,3159.46
2024-11-22,2436.32
2024-11-23,2981.96
2024-11-24,2319.33
2024-11-25,1854.76
2024-11-26,1775.56
2024-11-27,1743.42
2024-11-28,1883.92
2024-11-29,2078.52
2024-11-30,2701.59
2024-12-01,2448.4
2024-12-02,2473.99
2024-12-03,2152.02
2024-12-04,2254.81
2024-12-05,2424.26
2024-12-06,3385.68
2024-12-07,2899.35
2024-12-08,3031.34
2024-12-09,2701.25
2024-12-10,3322.63
2024-12-11,2991.26
2024-12-12,2515.65
2024-12-13,2371.84
2024-12-14,2113.4
2024-12-15,2889.28
2024-12-16,1556.47
2024-12-17,2769.26
2024-12-18,2318.55
2024-12-19,2322.3
2024-12-20,1973.94
2024-12-21,2045.77
2024-12-22,2282.2200000000003
2024-12-23,3082.11
2024-12-24,2786.15
2024-12-25,1990.87
2024-12-26,2309.77
2024-12-27,2487.22
2024-12-28,1888.65
2024-12-29,2302.78
2024-12-30,2715.6
2024-12-31,3204.74
2025-01-01,2587.01
2025-01-02,3995.07
2025-01-03,2215.49
2025-01-04,2250.12
2025-01-05,2446.42
2025-01-06,3332.73
2025-01-07,2243.38
2025-01-08,1352.08
2025-01-09,2332.28
2025-01-10,1666.72
2025-01-11,1908.96
2025-01-12,2429.34
2025-01-13,2624.54
2025-01-14,2641.23
2025-01-15,1811.68
2025-01-16,2531.38
2025-01-17,3228.0299999999997
2025-01-18,2590.29
2025-01-19,2456.13
2025-01-20,1723.94
2025-01-21,3507.72
2025-01-22,1716.28
2025-01-23,2424.61
2025-01-24,2749.79
2025-01-25,3416.48
2025-01-26,1893.98
2025-01-27,2890.69
2025-01-28,2506.28
2025-01-29,2591.02
2025-01-30,1827.08
2025-01-31,3109.33
2025-02-01,2258.72
2025-02-02,994.38
2025-02-03,2076.85
2025-02-04,1580.22
2025-02-05,2439.74
2025-02-06,2060.22
2025-02-07,1852.49
2025-02-08,1566.69
2025-02-09,1426.1
2025-02-10,2909.2599999999998
2025-02-11,1792.37
2025-02-12,2542.62
2025-02-13,2624.46
2025-02-14,2335.65
2025-02-15,2338.63
2025-02-16,1967.11
2025-02-17,1919.22
2025-02-18,1752.66
2025-02-19,1986.82
2025-02-20,1562.58
2025-02-21,2454.69
2025-02-22,2132.81
2025-02-23,2234.19
2025-02-24,1548.59
2025-02-25,2410.09
2025-02-26,1031.67
2025-02-27,2303.63
2025-02-28,1795.49
2025-03-01,2620.2799999999997
2025-03-02,2682.98
2025-03-03,1951.41
2025-03-04,2286.68
2025-03-05,1885.06
2025-03-06,1826.35
2025-03-07,1875.11
2025-03-08,1514.76
2025-03-09,818.57
2025-03-10,2707.96
2025-03-11,2160.39
2025-03-12,1959.41
2025-03-13,1653.72
2025-03-14,2271.02
2025-03-15,1835.36
2025-03-16,1623.14
2025-03-17,1396.68
2025-03-18,1117.04
2025-03-19,1535.79
2025-03-20,1823.64
2025-03-21,1934.26
2025-03-22,1279.45
2025-03-23,2765.78
2025-03-24,1426.44
2025-03-25,2407.55
2025-03-26,1099.09
2025-03-27,1322.09
2025-03-28,1870.76
2025-03-29,2116.35
2025-03-30,2359.73
2025-03-31,1808.0
2025-04-01,2512.38
2025-04-02,1399.68
2025-04-03,945.62
2025-04-04,1475.59
2025-04-05,1884.81
2025-04-06,1329.73
2025-04-07,1719.57
2025-04-08,2010.54
2025-04-09,1510.5
2025-04-10,1899.26
2025-04-11,1771.1299999999999
2025-04-12,1579.3
2025-04-13,1791.62
2025-04-14,1167.3
2025-04-15,1255.1
2025-04-16,1664.3600000000001
2025-04-17,1106.45
2025-04-18,1817.9099999999999
2025-04-19,1603.6299999999999
2025-04-20,1190.02
2025-04-21,1042.07
2025-04-22,2015.32
2025-04-23,784.04
2025-04-24,1450.52
2025-04-25,1574.08
2025-04-26,790.3199999999999
2025-04-27,1528.05
2025-04-28,1534.54
2025-04-29,1310.8
2025-04-30,1392.82
2025-05-01,1610.95
2025-05-02,2032.57
2025-05-03,963.65
2025-05-04,497.27000000000004
2025-05-05,986.72
2025-05-06,1525.87
2025-05-07,1002.64
2025-05-08,1145.6
2025-05-09,592.43
2025-05-10,1419.6
2025-05-11,445.99
2025-05-12,1380.82
2025-05-13,2250.04
2025-05-14,997.43
2025-05-15,738.9
2025-05-16,959.87
2025-05-17,1287.9
2025-05-18,899.26
2025-05-19,1075.25
2025-05-20,993.97
2025-05-21,1160.06
2025-05-22,1554.63
2025-05-23,1160.88
2025-05-24,1212.62
2025-05-25,1025.67
2025-05-26,1155.05
2025-05-27,980.59
2025-05-28,1079.85
2025-05-29,1188.8799999999999
2025-05-30,1154.28
2025-05-31,634.96
2025-06-01,979.77
2025-06-02,647.48
2025-06-03,345.03
2025-06-04,1193.54
2025-06-05,1293.74
2025-06-06,860.33
2025-06-07,1099.35
2025-06-08,1086.93
2025-06-09,898.28
2025-06-10,1070.6
2025-06-11,366.2
2025-06-12,560.88
2025-06-13,520.3
2025-06-14,699.74
2025-06-15,607.83
2025-06-16,865.03
2025-06-17,1117.5
2025-06-18,923.8199999999999
2025-06-19,688.67
2025-06-20,474.82
2025-06-21,868.03
2025-06-22,502.28
2025-06-23,921.1800000000001
2025-06-24,754.85
2025-06-25,590.86
2025-06-26,390.9
2025-06-27,500.35
2025-06-28,449.5
2025-06-29,558.98
2025-06-30,914.65
2025-07-01,511.74
2025-07-02,1336.42
2025-07-03,372.4
2025-07-04,1090.45
2025-07-05,307.47
2025-07-06,571.15
2025-07-07,1501.85
2025-07-08,615.11
2025-07-09,584.6800000000001
2025-07-10,607.77
2025-07-11,753.81
2025-07-12,447.03000000000003
2025-07-13,266.85
2025-07-14,649.35
