date_extracted,paid_price
2023-12-24,51.9
2023-12-26,23.4
2024-01-07,345.6
2024-01-08,370.5
2024-01-09,24.5
2024-01-10,57.78
2024-01-12,380.49
2024-01-22,65.99
2024-01-23,243.9
2024-01-25,134.15
2024-01-26,68.4
2024-01-27,18.0
2024-01-29,78.6
2024-01-31,65.25
2024-02-01,73.99
2024-02-02,111.18
2024-02-04,178.5
2024-02-06,178.0
2024-02-07,79.25
2024-02-09,80.75
2024-02-11,72.0
2024-02-12,242.0
2024-02-13,84.6
2024-02-15,319.5
2024-02-17,123.99000000000001
2024-02-18,58.5
2024-02-19,114.4
2024-02-20,375.0
2024-02-21,142.4
2024-02-22,86.0
2024-02-23,214.0
2024-02-24,185.38
2024-02-25,286.2
2024-02-26,213.75
2024-02-27,126.5
2024-02-29,69.25
2024-03-01,215.48
2024-03-02,32.0
2024-03-04,70.25
2024-03-05,39.0
2024-03-06,559.8
2024-03-07,460.25
2024-03-08,457.72
2024-03-10,363.25
2024-03-11,249.0
2024-03-12,388.5
2024-03-13,228.98000000000002
2024-03-14,291.74
2024-03-15,244.09
2024-03-16,446.65
2024-03-17,162.73000000000002
2024-03-18,426.58000000000004
2024-03-19,49.2
2024-03-20,395.27
2024-03-21,126.25
2024-03-22,366.25
2024-03-23,51.25
2024-03-24,233.7
2024-03-25,261.8
2024-03-26,164.3
2024-03-27,125.4
2024-03-28,88.79
2024-03-29,213.99
2024-03-30,135.3
2024-03-31,333.9
2024-04-01,55.5
2024-04-02,460.23
2024-04-03,238.5
2024-04-04,391.59
2024-04-05,409.15
2024-04-06,537.09
2024-04-07,271.03999999999996
2024-04-08,427.0
2024-04-09,518.95
2024-04-10,665.9
2024-04-11,936.75
2024-04-12,538.87
2024-04-13,321.75
2024-04-14,209.05
2024-04-15,276.59000000000003
2024-04-16,361.6
2024-04-17,548.85
2024-04-18,554.7
2024-04-19,568.95
2024-04-20,910.44
2024-04-21,379.1
2024-04-22,306.45
2024-04-23,321.2
2024-04-24,1622.63
2024-04-25,583.1
2024-04-26,236.85
2024-04-27,1040.94
2024-04-28,1000.62
2024-04-29,409.79
2024-04-30,781.99
2024-05-01,1425.7
2024-05-02,321.59000000000003
2024-05-03,243.99
2024-05-04,1272.55
2024-05-05,785.31
2024-05-06,498.19
2024-05-07,117.4
2024-05-08,618.4
2024-05-09,347.64
2024-05-10,762.84
2024-05-11,632.07
2024-05-12,932.37
2024-05-13,374.09000000000003
2024-05-14,338.9
2024-05-15,677.99
2024-05-16,384.62
2024-05-17,653.4399999999999
2024-05-18,790.12
2024-05-19,918.43
2024-05-20,810.6800000000001
2024-05-21,609.05
2024-05-22,937.2
2024-05-23,243.98000000000002
2024-05-24,508.95
2024-05-25,667.0
2024-05-26,340.70000000000005
2024-05-27,629.44
2024-05-28,1355.58
2024-05-29,939.65
2024-05-30,675.0
2024-05-31,769.4300000000001
2024-06-01,485.85
2024-06-02,830.37
2024-06-03,637.6
2024-06-04,649.32
2024-06-05,1532.72
2024-06-06,747.45
