author_set,quantity
"hershel treutel, miss modesto denesik, sen. trula bosco",163
jaimie skiles,146
"adrian stroman phd, hilario legros i, marco cormier, morton goodwin i",143
brianna o'conner,136
"carma mayer dc, hank huel, rev. ben nienow",125
genaro labadie,121
mrs. dario jaskolski,120
aron hansen,120
"harold blanda, karan abernathy, mariella zboncak dvm, tifany dickens",117
mitchell kerluke,113
cornelia balistreri dds,109
terese carter,107
"cristen hessel do, virgilio bernier",106
son schuster,105
harold blanda,104
"breanne mccullough, maxwell macgyver",103
josiah watsica,101
gerald altenwerth iv,100
magaret robel dvm,99
"clint hauck vm, trenton sipes",99
coy hegmann,98
hyman hegmann jd,97
rep. hilario collins,96
bobby goldner,96
"gov. numbers sawayn, phylicia runolfsson",95
antonia wiegand,95
man medhurst,95
raleigh fay sr.,94
gino auer,93
amb. sachiko boyer,93
rep. albert stamm,92
rev. lura jaskolski,91
breanne mccullough,91
"alvin schmitt, antoine dach, tamatha treutel do",90
phil mann,88
trey satterfield,87
moses douglas,86
"candy mitchell, dudley crona, julian lind, mrs. waldo kozey",86
"estelle altenwerth, gene beahan, robbie luettgen",86
"malik halvorson esq., man jakubowski",84
gov. len considine,82
"amb. beckie macejkovic, phil mann",82
ligia quitzon,81
jamey spencer,81
jose o'kon iv,80
"dante kreiger, levi crona phd",80
wonda quigley,79
fred tillman,79
"cammie friesen cpa, stella emmerich",79
prof. bo spinka,77
lessie torp,77
thomas collier,77
napoleon bernhard,76
"larhonda emmerich, louis ondricka",76
emmitt kub,75
mrs. leia reilly,75
leandro frami i,75
kerry marquardt vm,75
dudley barton,74
ricki schulist,74
fr. dallas lebsack,74
ruby schowalter,73
elanor treutel,73
miss christa corwin,72
lonny graham,71
tai berge,71
levi crona phd,70
jeffrey will,70
joselyn dietrich,70
lynne o'reilly,70
"dante kreiger, joselyn dietrich",70
tynisha schulist,70
edwina o'hara,70
angel schneider,70
hilario legros i,69
mayra turcotte,69
"bradley bruen ii, thuy nikolaus",69
bennett ernser,68
al wunsch,68
laveta marks,68
"morton lubowitz sr., norris gusikowski, sylvester goodwin, vance reichel",67
"florentino jacobson, rev. iluminada wolff",67
"lissa terry, thurman borer jd",67
yael kunze,66
virgilio bernier,66
"kelle bartoletti, rev. lura jaskolski",66
colin braun,66
"carlie becker jr., lynne o'reilly",65
the hon. mickey lebsack,65
rudy johnston,65
terina langosh,64
"grover hane, pennie kessler phd, viva frami",64
rep. felicita ortiz,64
mr. faustino gerhold,64
marquis rau phd,64
kent schneider v,63
porfirio o'hara iv,63
"dante goodwin, kareen fadel do, leandro frami i, rafael schinner",63
charley wehner iv,63
"hershel treutel, miss modesto denesik, pres. reuben jakubowski, sen. trula bosco",62
"inga hansen, scot crona, talitha windler",62
"dwight bartoletti, jerry goyette, meredith runte",62
barney mann,62
julian lind,61
"arthur o'keefe i, frances carter",60
"cleveland rice, wilfred bartell dvm",60
cecilia stehr,60
huey smith sr.,60
harris trantow,59
"charley wehner iv, malik stoltenberg",59
vito deckow,59
cleveland rice,57
"keven treutel, luigi brekke, ronald simonis",57
terrilyn marvin,57
thuy nikolaus,57
jonah strosin,56
melany bergnaum,55
luis beatty,55
"renita homenick, shelton mcglynn",55
keli mcclure lld,54
emery berge,54
trinh spinka,54
rev. iluminada wolff,54
yulanda mckenzie,53
burl mayert,53
fidel hettinger,53
"leandro hyatt, ligia quitzon",53
ismael romaguera,52
"leda raynor jd, solomon roob",52
"arturo murphy jd, nestor jakubowski",52
noma kris vm,52
miss elmo walsh,52
"cassie balistreri, katy schmidt, ms. kelle rohan",51
"brenda gorczany, leo hessel, tony schmeler, vernon bartoletti",51
dinah wyman,51
"allyn jerde, annabelle wilderman, ricardo grant",51
malik stoltenberg,51
lakita brown,51
rev. tonette pfannerstill,50
orlando considine,50
the hon. clement considine,49
"phil mann, shasta lesch",49
"prof. bo spinka, tynisha schulist",49
"alysia bahringer, amb. wynona champlin, mark shanahan",48
"rep. albert stamm, wilfred bartell dvm",48
agnus kuhlman,48
"msgr. kenna dooley, rep. trenton leuschke",48
maxwell macgyver,48
"noma kris vm, tony schmeler",48
"emil schinner iv, ernesto feest, lyman goldner",47
marjory crist,47
martin buckridge,47
"anissa conroy, nathan lebsack, norma rempel",47
ann beier,46
natasha hackett,46
ms. bo bergnaum,45
wilfred bartell dvm,45
"ms. bo bergnaum, yael kunze",45
"arthur o'keefe i, dr. cora macgyver",44
paris wilderman,44
margot kassulke,44
msgr. jame auer,44
"dave dooley, deanne olson lld, yuri stanton",44
"al wunsch, kristofer hermann",44
herb carter,43
"jose o'kon iv, malik halvorson esq., man jakubowski",43
kelle bartoletti,42
dr. cora macgyver,42
"adrian stroman phd, marco cormier, morton goodwin i",42
sterling herman,42
erick medhurst md,41
celeste cormier phd,41
julius wunsch v,41
msgr. kenna dooley,40
gonzalo cremin iii,40
albert konopelski,39
"karan abernathy, mariella zboncak dvm, tifany dickens",39
leandro hyatt,38
amb. beckie macejkovic,38
apolonia gorczany,38
"gerald altenwerth iv, moses douglas",38
ellis kuhn,38
"charley wehner iv, lynne o'reilly",38
odis quigley,38
"arthur o'keefe, karisa lowe sr., noreen ebert",37
"bradley bruen ii, kelle bartoletti",37
chun shields,37
dario waelchi,37
"luis beatty, trenton sipes",37
ardath graham,37
"cassie balistreri, katy schmidt, margot kassulke, ms. kelle rohan",36
franklyn sporer,36
lorenzo metz,36
shasta lesch,36
marlana casper,36
wilson beahan,36
rupert blanda dc,35
"morton lubowitz sr., sylvester goodwin, vance reichel",35
pres. reuben jakubowski,35
"florentino jacobson, msgr. santo schuppe",35
terence schmidt,34
kristyn halvorson,34
lawana veum,34
kristofer hermann,34
"ricki schulist, rupert blanda dc",34
"gustavo larkin, the hon. aurelio spinka, wanita bernier",34
amb. hosea beier,34
"bennett ernser, gerald altenwerth iv",34
"hildred rau, leticia dubuque, miss assunta corwin",33
royal abbott,33
trenton sipes,33
florentino jacobson,33
babette ratke,33
"the hon. clement considine, wonda quigley",33
pres. alphonse mcdermott,32
"herb carter, rudy johnston",31
"pres. alphonse mcdermott, terence schmidt",31
johanna dietrich,31
tayna hudson,31
carlie becker jr.,31
clint hauck vm,31
norris gusikowski,30
"erick medhurst md, ligia quitzon",30
jarrett thompson,30
pam schoen,30
dante kreiger,29
dong satterfield,28
the hon. jeffry altenwerth,28
pauline emard,28
dr. reanna thiel,27
"coleen stanton, cordie marks",27
"brianna o'conner, wilson beahan",27
"clint hauck vm, millard wuckert",27
shannon nienow,25
jaye goyette,25
"brenda gorczany, leo hessel, vernon bartoletti",25
mario aufderhar,25
cindie boyer,24
ivan nicolas,24
spencer keebler jd,23
flor berge,23
"dwight bartoletti, jerry goyette, meredith runte, trenton sipes",22
"candy mitchell, dudley crona, mrs. waldo kozey",22
benedict hirthe,22
"inga hansen, talitha windler",22
cole kozey,22
"charley wehner iv, the hon. mickey lebsack",21
carlos mann dvm,21
"dante goodwin, kareen fadel do, rafael schinner",20
"desiree johnston, msgr. keith gulgowski",20
cristen hessel do,20
fr. torie schneider,20
"jeffrey will, lynne o'reilly",20
"jeffrey will, joselyn dietrich",20
hai o'reilly jr.,20
scot crona,19
heidi schneider,19
"anibal ledner, elenor walsh, myrtle bednar",19
kimbra johns,19
"avery zemlak, mrs. chelsie weber",19
"antonia wiegand, terrilyn marvin",19
"alvin schmitt, antoine dach, inga hansen, talitha windler, tamatha treutel do",19
"caterina wyman, chong cronin, cleo jacobson",19
"erasmo mcglynn, jamaal kuphal, shizuko crooks",18
sen. ignacio becker,18
tony schmeler,18
tracey swaniawski,18
sen. robena yost,18
prof. christia stanton,18
"agnus kuhlman, emil schinner iv, ernesto feest, lyman goldner",18
msgr. santo schuppe,17
fredrick ebert,17
rep. devon gerhold,17
kelle lubowitz,17
arthur o'keefe i,17
odis funk,17
norman jacobs iii,17
rosalee romaguera,16
jinny toy,16
blake kuphal,15
nicolle larson vm,14
mr. argentina jenkins,14
paulette marquardt md,14
"dong satterfield, dr. reanna thiel",13
rep. trenton leuschke,13
roosevelt wunsch cpa,13
frances carter,13
bradley bruen ii,12
gregg koelpin,12
millard wuckert,11
miki kovacek,10
mohammad lynch iii,10
"gustavo larkin, terence schmidt, the hon. aurelio spinka, wanita bernier",8
