author_set,quantity
"coy streich, keeley hand, lela emard",159
benjamin mills,156
karisa kozey,150
"clyde jacobson, mohamed dach",148
jeffry nolan ret.,143
zackary carter,141
ms. kami prosacco,138
sook halvorson,135
jaleesa breitenberg dvm,131
"era hodkiewicz, jeffery leuschke phd, miss bok barrows",127
"moshe wilderman, norberto kohler",125
kizzie purdy,120
"lakenya boyer iv, louanne cruickshank",118
johnny russel,116
korey rice v,115
prof. remedios powlowski,114
rep. vern turcotte,113
susannah tremblay dc,111
"era hodkiewicz, frederick klocko cpa, jeffery leuschke phd, miss bok barrows",109
myrtis corwin,109
"benedict steuber, jon hettinger dvm, randal mccullough",102
"dr. emmaline ritchie, moshe wilderman, norberto kohler",102
kristeen kessler cpa,100
miss wade lebsack,99
elvina nader,96
garth marvin,96
ted rutherford,95
yuette parker,94
lonnie hilpert,94
caroyln wilderman,93
albert lehner ret.,92
zoila christiansen,92
"prof. augustus konopelski, sen. amber roberts",91
"miss wade lebsack, reginia weissnat",90
ozzie jast,90
"dylan upton, fredda brekke, vernice emard",90
"antione o'reilly, josette nikolaus dc",90
mrs. jessie brekke,88
kylee smith,87
"amb. elia lebsack, bernard bayer, edmundo oberbrunner",87
hortencia wunsch,86
carin christiansen,85
antonio lindgren,84
kirsten schaefer,82
rossana cruickshank,82
jermaine wehner,82
mr. dominque becker,81
"damian gulgowski, hal nitzsche",81
barb lynch,79
richie gislason,76
rosann wolf vm,75
brandi cole,75
farah rohan ii,73
shirlene toy,73
alina collier esq.,71
terrance schneider,70
rosalva beer,69
jerrold bogan lld,68
"enrique gislason, glenna huel, sean harvey iii",68
laronda kuhn,67
"garth heidenreich, lavon langosh, msgr. juan beer",67
hoyt jacobson iii,67
"jae bogisich, lonnie hilpert",66
"alphonso gulgowski, mercedez welch",66
"lawrence hauck, sean kassulke",66
"guadalupe batz ret., kristeen kessler cpa, malorie glover, paula rolfson",65
"beverly mcdermott, pedro bradtke",65
rico zemlak,64
fletcher upton,64
franklyn stokes vm,64
donovan bins,64
sean harvey iii,64
"kirk treutel, klara runolfsdottir sr.",64
lesli bernier iii,63
miss ward farrell,63
"kirk treutel, klara runolfsdottir sr., lonnie hilpert",63
cruz abshire md,62
amb. amberly beatty,62
dr. pat kunze,62
cristin deckow iii,62
marlin kuvalis,62
matthew boehm,62
timothy murazik,61
"julius barrows, tamika hayes",61
angel kuhic,61
casey bode,61
boris schowalter cpa,61
timmy corwin,61
anton moen,60
cleo predovic,60
candis ledner sr.,60
the hon. terence klocko,60
"rosann wolf vm, sean kassulke",59
sen. leta berge,59
reginia weissnat,59
pedro bradtke,57
travis von,56
msgr. marjorie koepp,56
sonny bogan,56
nick ziemann,55
"curtis rohan, rocky erdman",55
kasey effertz,55
teresia fisher,55
shanelle upton,55
roman koss,55
"anton toy, veronique carter",54
"isabelle boehm, lamar kautzer, raymundo aufderhar",54
"dominque fisher, leigh bednar",54
julia bartoletti,53
"adelia lind, floyd cassin iii",53
miss jesus pfannerstill,53
myrl miller,52
mohamed dach,52
"alysa pouros esq., amb. amberly beatty",52
frederick klocko cpa,52
the hon. kylee rempel,52
"catarina gleason, lilla gislason dc, msgr. mohammed buckridge",51
carroll schultz,51
cordell ritchie,51
wendell zboncak,50
amb. nannie labadie,49
"kylee smith, zoila christiansen",49
trevor turner,49
sanjuana bernier,48
amos romaguera jr.,48
